Country_Name,Life_Expectancy_1990
Aruba,73.38997561
Afghanistan,49.86104878
Angola,41.13834146
Albania,71.95731707
Andorra,
Arab World,64.39599765
United Arab Emirates,71.72014634
Argentina,71.54365854
Armenia,67.74780488
American Samoa,
Antigua and Barbuda,71.16295122
Australia,76.99463415
Austria,75.56829268
Azerbaijan,64.74636585
Burundi,48.00012195
Belgium,76.05195122
Benin,53.42
Burkina Faso,49.36560976
Bangladesh,58.41756098
Bulgaria,71.64146341
Bahrain,72.5072439
"Bahamas, The",70.63065854
Bosnia and Herzegovina,70.78321951
Belarus,70.83658537
Belize,71.28373171
Bermuda,
Bolivia,55.10729268
Brazil,65.34031707
Barbados,71.17195122
Brunei Darussalam,73.05119512
Bhutan,52.46231707
Botswana,62.55658537
Central African Republic,49.01756098
Canada,77.37707317
Central Europe and the Baltics,70.65636732
Switzerland,77.24243902
Channel Islands,75.4182439
Chile,72.67878049
China,69.0305122
Cote d'Ivoire,52.60692683
Cameroon,53.59126829
"Congo, Dem. Rep.",48.99297561
"Congo, Rep.",55.02897561
Colombia,68.29719512
Comoros,56.65360976
Cabo Verde,65.5705122
Costa Rica,75.65868293
Caribbean small states,69.57135527
Cuba,74.64380488
Curacao,
Cayman Islands,
Cyprus,76.51395122
Czech Republic,71.38390244
Germany,75.17736585
Djibouti,56.66317073
Dominica,
Denmark,74.80536585
Dominican Republic,67.95041463
Algeria,66.69458537
East Asia & Pacific (excluding high income),67.8956796
Early-demographic dividend,60.61126021
East Asia & Pacific,68.92980959
Europe & Central Asia (excluding high income),68.24985412
Europe & Central Asia,72.07180372
Ecuador,68.99536585
"Egypt, Arab Rep.",64.54907317
Euro area,75.89687834
Eritrea,48.23595122
Spain,76.83756098
Estonia,69.47560976
Ethiopia,47.09956098
European Union,74.85930983
Fragile and conflict affected situations,55.08201688
Finland,74.81317073
Fiji,65.57085366
France,76.6
Faroe Islands,76.11463415
"Micronesia, Fed. Sts.",66.19758537
Gabon,61.24014634
United Kingdom,75.8804878
Georgia,69.99960976
Ghana,56.75163415
Gibraltar,
Guinea,49.91885366
"Gambia, The",52.214
Guinea-Bissau,49.07631707
Equatorial Guinea,48.18953659
Greece,76.93902439
Grenada,68.47502439
Greenland,65.06829268
Guatemala,62.23841463
Guam,72.04409756
Guyana,63.52317073
High income,75.39986477
"Hong Kong SAR, China",77.3804878
Honduras,66.68904878
Heavily indebted poor countries (HIPC),49.58981921
Croatia,72.1704878
Haiti,54.56931707
Hungary,69.31560976
IBRD only,65.25350654
IDA & IBRD total,63.09329045
IDA total,55.28573741
IDA blend,58.72617366
Indonesia,63.25990244
IDA only,53.21759236
Isle of Man,
India,57.94373171
Not classified,
Ireland,74.74131707
"Iran, Islamic Rep.",63.88287805
Iraq,66.24034146
Iceland,78.03634146
Israel,76.60731707
Italy,76.97073171
Jamaica,72.01597561
Jordan,69.92085366
Japan,78.83682927
Kazakhstan,68.33658537
Kenya,58.80204878
Kyrgyz Republic,68.29756098
Cambodia,53.51007317
Kiribati,60.35082927
St. Kitts and Nevis,
"Korea, Rep.",71.2997561
Kuwait,72.28156098
Latin America & Caribbean (excluding high income),67.50864284
Lao PDR,53.55207317
Lebanon,70.22114634
Liberia,47.20243902
Libya,68.62990244
St. Lucia,71.04943902
Latin America & Caribbean,67.75788609
Least developed countries: UN classification,51.6590421
Low income,49.79366992
Liechtenstein,
Sri Lanka,69.6794878
Lower middle income,59.60929533
Low & middle income,63.03618461
Lesotho,59.33109756
Late-demographic dividend,68.85992581
Lithuania,71.16073171
Luxembourg,75.01041463
Latvia,69.27317073
"Macao SAR, China",75.27697561
St. Martin (French part),74.52195122
Morocco,64.6804878
Monaco,
Moldova,67.46565854
Madagascar,51.00809756
Maldives,61.4185122
Middle East & North Africa,65.75177483
Mexico,70.79573171
Marshall Islands,
Middle income,64.11391321
"Macedonia, FYR",71.14763415
Mali,46.46470732
Malta,75.17578049
Myanmar,58.69417073
Middle East & North Africa (excluding high income),65.11351043
Montenegro,74.44336585
Mongolia,60.2677561
Northern Mariana Islands,
Mozambique,43.12590244
Mauritania,58.35880488
Mauritius,69.40487805
Malawi,43.76602439
Malaysia,70.7574878
North America,75.43126468
Namibia,61.22495122
New Caledonia,70.48536585
Niger,43.95119512
Nigeria,46.11026829
Nicaragua,64.135
Netherlands,76.87804878
Norway,76.53731707
Nepal,54.19473171
Nauru,
New Zealand,75.37804878
OECD members,74.66479752
Oman,67.26773171
Other small states,62.37174271
Pakistan,60.11121951
Panama,73.0462439
Peru,65.53043902
Philippines,65.28807317
Palau,69.06926829
Papua New Guinea,55.70934146
Poland,70.8902439
Pre-demographic dividend,49.46233501
Puerto Rico,74.16917073
"Korea, Dem. PeopleÅEs Rep.",69.34431707
Portugal,73.96585366
Paraguay,68.01260976
West Bank and Gaza,68.05287805
Pacific island small states,63.67853275
Post-demographic dividend,75.46044703
French Polynesia,68.82860976
Qatar,75.11607317
Romania,69.74121951
Russian Federation,68.88609756
Rwanda,33.48512195
South Asia,58.22082512
Saudi Arabia,69.16702439
Sudan,55.51446341
Senegal,57.18309756
Singapore,75.29512195
Solomon Islands,56.7047561
Sierra Leone,37.35341463
El Salvador,63.988
San Marino,
Somalia,45.38934146
Serbia,
Sub-Saharan Africa (excluding high income),49.95204421
South Sudan,43.5187561
Sub-Saharan Africa,49.95204421
Small states,64.15260693
Sao Tome and Principe,61.77143902
Suriname,67.50187805
Slovak Republic,70.93268293
Slovenia,73.20487805
Sweden,77.53682927
Swaziland,59.34519512
Sint Maarten (Dutch part),
Seychelles,
Syrian Arab Republic,70.10626829
Turks and Caicos Islands,
Chad,46.92436585
East Asia & Pacific (IDA & IBRD countries),67.87720345
Europe & Central Asia (IDA & IBRD countries),68.53347411
Togo,55.84843902
Thailand,70.23060976
Tajikistan,62.86478049
Turkmenistan,62.67414634
Latin America & the Caribbean (IDA & IBRD countries),67.52938599
Timor-Leste,48.48473171
Middle East & North Africa (IDA & IBRD countries),65.08762098
Tonga,69.58231707
South Asia (IDA & IBRD),58.22082512
Sub-Saharan Africa (IDA & IBRD countries),49.95204421
Trinidad and Tobago,68.02290244
Tunisia,68.82709756
Turkey,64.28234146
Tuvalu,
Tanzania,49.97756098
Uganda,45.05626829
Ukraine,70.13658537
Upper middle income,68.30732368
Uruguay,72.53953659
United States,75.21463415
Uzbekistan,66.68417073
St. Vincent and the Grenadines,70.07665854
"Venezuela, RB",69.82860976
British Virgin Islands,
Virgin Islands (U.S.),74.788
Vietnam,70.41819512
Vanuatu,63.19685366
World,65.38253164
Samoa,65.04041463
Kosovo,67.74878049
"Yemen, Rep.",57.76419512
South Africa,62.12007317
Zambia,44.31246341
Zimbabwe,59.58307317
